day,date,time_hour,time_min,time_sec
F,8/30/19,0,22,52
Th,8/29/19,0,41,43
W,8/28/19,0,20,8
Tu,8/27/19,0,13,40
M,8/26/19,0,6,19
Sa,8/24/19,1,16,1
F,8/23/19,0,54,27
Th,8/22/19,1,3,31
W,8/21/19,0,23,45
Tu,8/20/19,0,12,36
M,8/19/19,0,10,2
Su,8/18/19,0,41,37
Sa,8/17/19,0,55,23
F,8/16/19,0,55,27
Th,8/15/19,0,44,35
W,8/14/19,0,29,43
Tu,8/13/19,0,10,50
M,8/12/19,0,8,5
Su,8/11/19,0,40,33
Sa,8/10/19,1,9,56
F,8/9/19,0,51,57
Th,8/8/19,0,52,46
W,8/7/19,0,23,5
Tu,8/6/19,0,19,9
M,8/5/19,0,6,40
Su,8/4/19,1,8,45
Sa,8/3/19,0,42,14
F,8/2/19,0,23,50
Th,8/1/19,0,24,2
W,7/31/19,0,18,15
Tu,7/30/19,0,10,23
M,7/15/19,0,8,42
Tu,7/9/19,0,13,5
M,7/8/19,0,10,7
M,6/24/19,0,9,44
M,6/17/19,0,6,24
M,6/10/19,0,6,16
W,6/5/19,0,12,32
Tu,6/4/19,0,12,28
M,6/3/19,0,8,28
Tu,5/28/19,0,7,52
M,5/27/19,0,8,1
Tu,5/21/19,0,9,1
M,5/20/19,0,8,23
Th,5/16/19,0,27,3
W,5/15/19,0,16,56
Tu,5/14/19,0,11,32
M,5/13/19,0,9,0
M,5/6/19,0,8,23
Su,5/5/19,0,50,44
Th,5/2/19,0,33,55
W,5/1/19,0,16,34
Sa,8/31/19,0,29,37
Su,9/1/19,0,58,41
M,9/2/19,0,12,20
Tu,9/3/19,0,15,16
W,9/4/19,0,29,17
Th,9/5/19,0,48,30
M,9/9/19,0,7,17
Tu,9/10/19,0,11,6
W,9/11/19,0,19,12
Th,9/12/19,0,40,12
F,9/13/19,0,36,57
Su,9/15/19,0,55,46
M,9/16/19,0,9,0
Tu,9/17/19,0,16,17
W,9/18/19,0,12,56
T,4/2/19,0,15,51
W,4/3/19,0,10,5
M,4/8/19,0,7,33
T,4/9/19,0,33,39
M,4/15/19,0,6,44
W,4/17/19,0,10,27
M,4/22/19,0,7,23
Tu,4/23/19,0,14,53
F,4/26/19,0,26,12
M,4/29/19,0,9,49
Tu,4/30/19,0,17,6
M,3/11/19,0,6,31
M,3/25/19,0,8,47
Th,3/28/19,0,24,52
Tu,2/12/19,0,15,38
M,2/18/19,0,8,12
M,2/25/19,0,6,44
M,12/10/18,0,14,17
Tu,12/18/18,0,16,34
Tu,10/9/18,0,10,28
M,9/17/18,0,8,43
M,9/24/18,0,8,35
M,8/6/18,0,8,58
M,8/20/18,0,8,41
M,6/25/18,0,6,20
Tu,5/8/18,0,8,5
M,4/16/18,0,8,0
M,4/23/18,0,8,57
Tu,3/13/18,0,9,1
M,3/26/18,0,12,4
M,2/5/18,0,5,46
Tu,2/6/18,0,11,29
Tu,12/5/18,0,10,11
W,12/13/18,0,19,22
Tu,11/14/18,0,10,22
M,11/27/18,0,7,59
W,11/29/18,0,16,16